,WR,Points
0,Ja'Marr Chase,261.2
8,CeeDee Lamb,260.18
2,Amon-Ra St. Brown,258.28
3,Brian Thomas,237.94
22,Tyreek Hill,229.91
7,Malik Nabers,227.05
6,Mike Evans,223.54
11,Davante Adams,210.43
21,D.J. Moore,210.15
17,A.J. Brown,201.14
4,Terry McLaurin,199.08
1,Justin Jefferson,198.42
31,Puka Nacua,190.18
15,Garrett Wilson,190.04
10,Ladd McConkey,189.04
36,Keenan Allen,187.98
5,Drake London,184.26
19,Nico Collins,182.6
25,Calvin Ridley,180.42
9,Courtland Sutton,180.29
23,Zay Flowers,176.27
16,Jordan Addison,173.46
27,DeVonta Smith,172.87
24,Marvin Harrison Jr.,172.79
33,D.K. Metcalf,169.27
28,Jakobi Meyers,167.42
45,Michael Pittman Jr.,161.28
68,Stefon Diggs,159.72
49,DeAndre Hopkins,157.85
32,Xavier Worthy,157.69
20,Jayden Reed,157.56
13,Jaxon Smith-Njigba,156.64
18,Tee Higgins,152.26
14,Jerry Jeudy,148.08
40,George Pickens,147.77
38,Cooper Kupp,141.64
42,Deebo Samuel,141.62
47,Adam Thielen,140.72
63,Amari Cooper,138.81
37,Josh Downs,134.84
56,Romeo Doubs,133.9
55,Chris Godwin,132.54
52,Wan'Dale Robinson,131.94
48,Jaylen Waddle,130.48
71,Tyler Lockett,129.02
51,Rome Odunze,120.45
53,Tank Dell,120.15
101,Brandon Aiyuk,119.44
92,Chris Olave,119.43
470,Russell Gage,119.34
39,Khalil Shakir,117.15
30,Darnell Mooney,115.87
82,Elijah Moore,115.14
44,Jalen McMillan,115.09
35,Quentin Johnston,114.78
95,Rashee Rice,113.55
26,Jauan Jennings,112.42
12,Jameson Williams,112.07
681,Emmanuel Sanders,105.77
66,Xavier Legette,103.05
86,Diontae Johnson,101.08
73,Darius Slayton,100.75
688,Antonio Brown,100.06
84,Tim Patrick,99.58
29,Rashod Bateman,98.38
34,Alec Pierce,98.32
60,Demario Douglas,98.15
83,Rashid Shaheed,97.54
93,Brandin Cooks,96.56
72,Dontayvion Wicks,96.51
65,Michael Wilson,96.03
108,Gabriel Davis,93.26
46,Demarcus Robinson,92.96
41,Nick Westbrook-Ikhine,92.82
43,Jalen Tolbert,91.05
110,Curtis Samuel,89.87
482,Corey Davis,87.77
524,A.J. Green,87.72
94,Christian Kirk,87.17
99,Tyler Boyd,86.65
59,Keon Coleman,85.27
67,Christian Watson,82.92
75,Josh Palmer,81.06
85,Tutu Atwell,80.35
78,Devaughn Vele,79.27
291,Michael Gallup,79.1
61,Tre Tucker,78.96
542,Marquez Callaway,78.45
81,Jalen Coker,77.07
54,Allen Lazard,76.83
525,Jarvis Landry,76.52
355,Donovan Peoples-Jones,76.32
588,Cole Beasley,74.65
57,Andrei Iosivas,74.56
80,Ricky Pearsall,73.12
50,Marvin Mims,72.84
89,Noah Brown,72.4
307,DeVante Parker,71.54
743,Adam Humphries,69.84
58,Calvin Austin III,69.47
123,Jahan Dotson,68.33
102,Kendrick Bourne,67.46
301,Chris Moore,67.06
279,Rondale Moore,66.68
120,Josh Reynolds,64.62
150,Marquise Brown,63.3
96,Justin Watson,63.03
64,Ray-Ray McCloud,62.56
377,Richie James,61.74
76,Olamide Zaccheaus,61.36
87,Greg Dortch,60.72
74,Mack Hollins,60.58
105,Nelson Agholor,59.76
738,Dan Arnold,59.7
70,KaVontae Turpin,59.04
137,Jonathan Mingo,58.72
100,Troy Franklin,57.73
704,Henry Ruggs III,57.67
388,Isaiah McKenzie,57.66
152,DJ Chark,56.69
527,Tre'Quan Smith,56.3
729,Danny Amendola,55.88
77,Marquez Valdes-Scantling,55.18
294,Michael Thomas,54.76
79,Parker Washington,54.44
130,Robert Woods,54.04
142,K.J. Osborn,53.35
124,Trey Palmer,52.98
737,James Washington,52.81
749,Chester Rogers,52.73
98,Kalif Raymond,52.62
402,Marvin Jones,52.41
90,Cedric Tillman,51.65
742,Antoine Wesley,49.77
112,Adonai Mitchell,49.41
360,Chase Claypool,49.34
167,Odell Beckham Jr.,48.96
338,Hunter Renfrow,47.96
347,Quez Watkins,47.72
62,Kayshon Boutte,47.61
107,JuJu Smith-Schuster,47.58
548,Keelan Cole,47.23
557,Kenny Golladay,47.06
751,Rashard Higgins,46.87
115,Cedrick Wilson Jr.,46.86
602,Bryan Edwards,46.5
523,Damiere Byrd,46.4
69,Jalen Nailor,45.4
109,Lil'Jordan Humphrey,45.14
88,David Moore,44.26
531,Sammy Watkins,43.47
296,A.T. Perry,43.42
104,Mike Williams,43.08
321,Skyy Moore,42.38
97,Van Jefferson,42.22
760,Tavon Austin,41.4
323,Braxton Berrios,41.22
128,Dante Pettis,41.18
374,Marquise Goodwin,41.15
335,Julio Jones,41.1
91,Sterling Shepard,40.18
331,Kadarius Toney,40.08
114,Jordan Whittington,39.99
330,Jamal Agnew,39.97
116,Malik Washington,39.75
555,DeSean Jackson,39.14
576,Freddie Swain,38.99
564,T.Y. Hilton,38.94
103,Dyami Brown,38.64
157,Zay Jones,38.52
369,Randall Cobb,38.47
127,Ja'Lynn Polk,38.32
755,Brandon Zylstra,38.27
113,DJ Turner,36.62
758,Isaiah Ford,36.17
131,Jake Bobo,35.67
119,Ryan Miller,35.17
767,Albert Wilson,35.15
766,Tajae Sharpe,34.73
530,Kendall Hinton,33.9
757,Jakeem Grant,33.88
111,John Metchie,33.58
521,Shi Smith,33.27
754,Malik Turner,32.89
164,Brandon Powell,32.3
747,Cyril Grayson,31.8
200,Brandon Johnson,30.72
156,Xavier Gipson,30.51
184,Allen Robinson,29.75
529,Phillip Dorsett,29.68
168,Jalin Hyatt,28.99
389,Equanimeous St. Brown,28.88
117,Derius Davis,28.47
118,KhaDarel Hodge,28.38
364,Byron Pringle,28.38
571,Cam Sims,27.52
134,Luke McCaffrey,26.88
106,Tyler Johnson,25.8
125,Malik Heath,25.58
199,Isaiah Hodgins,25.33
775,Mohamed Sanu,24.97
132,Jamison Crowder,24.96
190,Trenton Irwin,24.72
759,Greg Ward,24.36
559,Breshad Perriman,23.7
135,Kevin Austin,22.96
136,Bo Melton,22.8
182,David Bell,22.67
133,Ashton Dulin,22.22
163,Scott Miller,22.03
126,Mecole Hardman,21.58
553,N'Keal Harry,21.44
599,Quintez Cephus,21.12
129,Bub Means,20.86
551,Denzel Mims,20.36
326,Alex Erickson,20.17
148,Mason Tipton,20.04
122,Jalen Brooks,19.46
541,Amari Rodgers,19.32
333,Deonte Harty,19.31
151,Parris Campbell,18.74
174,Treylon Burks,18.56
178,Terrace Marshall Jr.,18.45
140,Xavier Hutchinson,18.16
556,Anthony Schwartz,18.12
356,Kyle Philips,17.78
121,Tylan Wallace,17.62
158,Jalen Reagor,17.42
568,Marcus Johnson,17.22
138,Trent Sherfield,16.77
563,Jeff Smith,16.08
794,Trinity Benson,15.96
787,Kenny Stills,15.75
404,Zach Pascal,15.72
570,Michael Bandy,15.65
795,Chris Hogan,15.09
162,River Cracraft,14.6
204,John Ross,14.26
549,KJ Hamler,13.94
368,Jason Brownlee,13.92
367,Lynn Bowden Jr.,13.75
155,Ryan Flournoy,13.75
185,Deven Thompkins,13.74
379,Samori Toure,13.68
186,Ronnie Bell,13.16
205,Tyler Scott,13.07
141,Rakim Jarrett,13.04
790,Dez Fitzpatrick,12.96
558,Tom Kennedy,12.61
149,Johnny Wilson,12.53
173,Tyquan Thornton,12.46
569,Dax Milne,12.25
147,Bryce Oliver,12.21
165,Ben Skowronek,11.91
802,Preston Williams,11.88
160,Kristian Wilkerson,11.85
805,Dede Westbrook,11.78
399,Steven Sims,11.75
357,Jalen Guyton,11.71
391,Justyn Ross,11.36
799,Josh Gordon,11.25
166,Michael Woods II,10.82
171,Charlie Jones,10.78
146,Ainias Smith,10.71
336,Ihmir Smith-Marsette,10.44
177,Tim Jones,10.4
145,Tay Martin,10.19
567,John Brown,10.1
144,Simi Fehoko,9.78
370,D.J. Montgomery,9.78
169,Laviska Shenault Jr.,9.73
153,Chris Conley,9.32
154,Devin Duvernay,9.04
143,Jermaine Burton,8.94
566,David Sills,8.65
798,Cameron Batson,8.55
797,Auden Tate,8.54
390,Ty Montgomery,7.98
159,Devontez Walker,7.83
395,Keelan Doss,7.68
170,DeAndre Carter,7.57
585,Andre Baccellia,7.52
176,D'Wayne Eskridge,7.49
139,Tyrell Shavers,7.36
807,Ja'Marcus Bradley,7.25
375,Keith Kirkwood,7.06
584,Mike Thomas,6.94
192,Anthony Miller,6.83
161,Jacob Cowing,6.71
195,Robbie Chosen,6.68
183,Britain Covey,6.66
605,Penny Hart,6.61
565,Jalen Virgil,6.31
392,Mike Strachan,6.08
210,James Proche,6.08
580,Jake Kumerow,5.91
587,Cody Hollister,5.86
577,Kevin White,5.77
206,Trent Taylor,5.75
612,Juwann Winfree,5.74
172,Nikko Remigio,5.62
611,Dezmon Patmon,5.46
393,Elijah Cooks,5.38
175,Dan Chisena,5.36
804,Andre Roberts,5.17
826,Christian Blake,4.91
814,Will Fuller,4.81
405,Laquon Treadwell,4.55
816,JJ Arcega-Whiteside,4.36
403,Gunner Olszewski,4.27
833,Seth Williams,4.12
622,Montrell Washington,4.08
619,Jason Moore,4.04
595,Tyrie Cleveland,3.82
181,Alex Bachman,3.74
615,C.J. Board,3.64
189,Anthony Gould,3.6
193,Jamari Thrash,3.58
836,Marcus Kemp,3.45
613,Dareke Young,3.44
600,Pharoh Cooper,3.4
594,Daylen Baldwin,3.38
838,Dazz Newsome,3.3
827,Daniel Brown,3.26
589,Racey McMath,3.18
609,Cade Johnson,3.03
408,Willie Snead,2.9
194,Austin Trammell,2.88
401,Miles Boykin,2.82
179,Xavier Smith,2.55
606,Dennis Houston,2.54
180,Cody White,2.46
608,Andy Isabella,2.43
623,Nsimba Webster,2.29
197,Jaelon Darden,2.28
834,Davion Davis,2.25
852,Tyrell Williams,2.22
850,Stanley Morgan Jr.,2.16
187,Chris Blair,2.08
198,Grant Dubose,2.08
849,Jaydon Mickens,2.03
601,Frank Darby,1.98
207,Casey Washington,1.93
851,C.J. Saunders,1.91
848,Kirk Merritt,1.89
196,Javon Baker,1.86
618,Tyron Johnson,1.86
604,Danny Gray,1.76
841,Tarik Black,1.69
191,Mason Kinsey,1.61
624,Keke Coutee,1.57
410,Cody Thompson,1.55
397,Trishton Jackson,1.55
845,Marvin Hall,1.5
203,Kendric Pryor,1.44
208,Isaiah Williams,1.37
201,Collin Johnson,1.32
409,Malik Taylor,1.31
202,Ramel Keyton,1.19
614,Maurice Alexander,1.19
617,Jalen Camp,1.19
853,Easop Winston,1.0
847,Tommylee Lewis,1.0
209,Velus Jones Jr.,0.92
627,Braylon Sanders,0.79
188,Malachi Corley,0.43
413,Antoine Green,0.27
211,Brycen Tremayne,0.2
414,Kwamie Lassiter II,0.08
412,Colton Dowell,-0.21
625,Erik Ezukanma,-0.48
212,Jha'Quan Jackson,-1.73
856,Diontae Spencer,-4.2
